"","Codigo","Companhia","Ano","Diretor","Tempo.de.Mandato..Anos."
"42",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2017","EUGENIO RICARDO A. COSTA",1
"43",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2016","EUGENIO RICARDO ARAUJO CO",1
"44",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2015","FRANCISCO NUNO PONTES CORREIA NEVES",1
"45",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2014","WILSON LEMOS DE MORAES JUNIOR",5
"46",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2013","WILSON LEMOS DE MORAES JUNIOR",5
"47",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2012","WILSON LEMOS DE MORAES JUNIOR",5
"48",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2011","WILSON LEMOS DE MORAES JUNIOR",5
"49",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2010","WILSON LEMOS DE MORAES JUNIOR",5
"50",8,"BANCO DO ESTADO DE SERGIPE SA","2017","FERNANDO SOARES DA MOTA",6
"51",8,"BANCO DO ESTADO DE SERGIPE SA","2016","FERNANDO SOARES DA MOTA",6
"52",8,"BANCO DO ESTADO DE SERGIPE SA","2015","FERNANDO SOARES DA MOTA",6
"53",8,"BANCO DO ESTADO DE SERGIPE SA","2014","FERNANDO SOARES DA MOTA",6
"54",8,"BANCO DO ESTADO DE SERGIPE SA","2013","FERNANDO SOARES DA MOTA",6
"55",8,"BANCO DO ESTADO DE SERGIPE SA","2012","FERNANDO SOARES DA MOTA",6
"56",8,"BANCO DO ESTADO DE SERGIPE SA","2011","VERA LÚCIA DE OLIVEIRA",2
"57",8,"BANCO DO ESTADO DE SERGIPE SA","2010","VERA LÚCIA DE OLIVEIRA",2
"58",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2016","FREDERICO KUEHNRICH NETO",2
"59",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2015","FREDERICO KUEHNRICH NETO",2
"60",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2017","Guilherme Luiz do Val",7
"61",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2016","Guilherme Luiz do Val",7
"62",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2015","Guilherme Luiz do Val",7
"63",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2014","Guilherme Luiz do Val",7
"64",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2013","Guilherme Luiz do Val",7
"65",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2012","Guilherme Luiz do Val",7
"66",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2011","Guilherme Luiz do Val",7
"67",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2017","Jarbas José Valente",2
"68",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2016","Jarbas José Valente",2
"69",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2013","Francisco Ziober Filho",2
"70",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2012","Francisco Ziober Filho",2
"71",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2017","Eurico de Jesus Teles Neto",2
"72",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2016","Eurico de Jesus Teles Neto",2
"73",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2015","Marco Norci Schroeder",1
"74",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2014","Sr. Bayard De Paoli Gontijo",2
"75",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2013","Sr. Bayard De Paoli Gontijo",2
"76",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2012","Sr. Zeinal Abedin Mahomed Bava",1
"77",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2011","Sr. José Mauro Mettrau Carneiro da Cunha",1
"78",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2010","Sr. Francisco Tosta Valim Filho",1
"79",15,"TELEMAR NORTE LESTE SA","2010","Francisco Tosta Valim Filho",1
"80",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2017","PAULO ROBERTO DANTAS OLIVEIRA",1
"81",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2016","CIRO MATTOS MARINO",1
"82",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2017","Michel Neves Sarkis",2
"83",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2016","Michel Neves Sarkis",2
"84",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2015","Guilherme Gomes Dias",4
"85",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2014","Guilherme Gomes Dias",4
"86",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2013","Guilherme Gomes Dias",4
"87",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2012","Guilherme Gomes Dias",4
"88",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2011","Bruno Pessanha Negris",2
"89",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2010","Bruno Pessanha Negris",2
"90",18,"UNIPAR CARBOCLORO S.A.","2017","Aníbal do Vale",5
"91",18,"UNIPAR CARBOCLORO S.A.","2016","Aníbal do Vale",5
"92",18,"UNIPAR CARBOCLORO S.A.","2015","Aníbal do Vale",5
"93",18,"UNIPAR CARBOCLORO S.A.","2014","Aníbal do Vale",5
"94",18,"UNIPAR CARBOCLORO S.A.","2013","Aníbal do Vale",5
"95",18,"UNIPAR CARBOCLORO S.A.","2012","Frank Geyer Abubakir",1
"96",18,"UNIPAR CARBOCLORO S.A.","2011","José Octávio Vianello de Mello",2
"97",18,"UNIPAR CARBOCLORO S.A.","2010","José Octávio Vianello de Mello",2
"98",19,"BANCO DO ESTADO DO PARÁ S/A.","2017","Augusto Sérgio Amorim Costa",8
"99",19,"BANCO DO ESTADO DO PARÁ S/A.","2016","Augusto Sérgio Amorim Costa",8
"100",19,"BANCO DO ESTADO DO PARÁ S/A.","2015","Augusto Sérgio Amorim Costa",8
"101",19,"BANCO DO ESTADO DO PARÁ S/A.","2014","Augusto Sérgio Amorim Costa",8
"102",19,"BANCO DO ESTADO DO PARÁ S/A.","2013","Augusto Sérgio Amorim Costa",8
"103",19,"BANCO DO ESTADO DO PARÁ S/A.","2012","Augusto Sérgio Amorim Costa",8
"104",19,"BANCO DO ESTADO DO PARÁ S/A.","2011","Augusto Sérgio Amorim Costa",8
"105",19,"BANCO DO ESTADO DO PARÁ S/A.","2010","Augusto Sérgio Amorim Costa",8
"106",20,"VULCABRAS|AZALEIA S.A.","2017","Pedro Bartelle",2
"107",20,"VULCABRAS|AZALEIA S.A.","2016","Pedro Bartelle",2
"108",20,"VULCABRAS|AZALEIA S.A.","2010","MILTON CARDOSO DOS SANTOS FILHO",1
"109",21,"WEMBLEY SOCIEDADE ANÔNIMA","2015","Josué Christiano Gomes da Silva",6
"110",21,"WEMBLEY SOCIEDADE ANÔNIMA","2014","Josué Christiano Gomes da Silva",6
"111",21,"WEMBLEY SOCIEDADE ANÔNIMA","2013","Josué Christiano Gomes da Silva",6
"112",21,"WEMBLEY SOCIEDADE ANÔNIMA","2012","Josué Christiano Gomes da Silva",6
"113",21,"WEMBLEY SOCIEDADE ANÔNIMA","2011","Josué Christiano Gomes da Silva",6
"114",21,"WEMBLEY SOCIEDADE ANÔNIMA","2010","Josué Christiano Gomes da Silva",6
"115",22,"IOCHPE-MAXION SA","2017","Marcos Sergio de Oliveira",5
"116",22,"IOCHPE-MAXION SA","2016","Marcos Sergio de Oliveira",5
"117",22,"IOCHPE-MAXION SA","2015","Marcos Sergio de Oliveira",5
"118",22,"IOCHPE-MAXION SA","2014","Marcos Sergio de Oliveira",5
"119",22,"IOCHPE-MAXION SA","2013","Marcos Sergio de Oliveira",5
"120",22,"IOCHPE-MAXION SA","2012","Dan Ioschpe",3
"121",22,"IOCHPE-MAXION SA","2011","Dan Ioschpe",3
"122",22,"IOCHPE-MAXION SA","2010","Dan Ioschpe",3
"123",23,"AZEVEDO & TRAVASSOS SA","2017","Renato de Almeida  Pimentel Mendes",8
"124",23,"AZEVEDO & TRAVASSOS SA","2016","Renato de Almeida  Pimentel Mendes",8
"125",23,"AZEVEDO & TRAVASSOS SA","2015","Renato de Almeida  Pimentel Mendes",8
"126",23,"AZEVEDO & TRAVASSOS SA","2014","Renato de Almeida  Pimentel Mendes",8
"127",23,"AZEVEDO & TRAVASSOS SA","2013","Renato de Almeida  Pimentel Mendes",8
"128",23,"AZEVEDO & TRAVASSOS SA","2012","Renato de Almeida  Pimentel Mendes",8
"129",23,"AZEVEDO & TRAVASSOS SA","2011","Renato de Almeida  Pimentel Mendes",8
"130",23,"AZEVEDO & TRAVASSOS SA","2010","Renato de Almeida  Pimentel Mendes",8
"131",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2017","André Luís Wetzel da Silva",1
"132",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2014","ANDRÉ LUIS WETZEL DA SILVA",4
"133",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2013","ANDRÉ LUIS WETZEL DA SILVA",4
"134",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2012","ANDRÉ LUIS WETZEL DA SILVA",4
"135",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2011","ANDRÉ LUIS WETZEL DA SILVA",4
"136",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2010","NORBERTO CUBAS DA SILVA",1
"137",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2017","LUIZ GONZAGA VERAS MOTA",5
"138",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2016","LUIZ GONZAGA VERAS MOTA",5
"139",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2015","LUIZ GONZAGA VERAS MOTA",5
"140",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2014","LUIZ GONZAGA VERAS MOTA",5
"141",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2013","LUIZ GONZAGA VERAS MOTA",5
"142",26,"BOMBRIL SA","2017","Ricardo dos Santos Oliveira",1
"143",26,"BOMBRIL SA","2016","Luiz Gustavo Figueiredo Pereira da Silva",2
"144",26,"BOMBRIL SA","2015","Luiz Gustavo Figueiredo Pereira da Silva",2
"145",26,"BOMBRIL SA","2014","Lui Gustavo Figueiredo Pereira da Silva",1
"146",26,"BOMBRIL SA","2013","Marcos Henrique Scaldelai",2
"147",26,"BOMBRIL SA","2012","Marcos Henrique Scaldelai",2
"148",26,"BOMBRIL SA","2011","Antonio Armando Barbosa Marchioni",1
"149",27,"COSTA PINTO S.A.","2012","Rubens Ometto Silveira Mello",2
"150",27,"COSTA PINTO S.A.","2011","Rubens Ometto Silveira Mello",2
"151",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2016","Carlos Jereissati",2
"152",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2015","Carlos Jereissati",2
"153",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2014","Fernando Magalhães Portella",1
"154",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2013","Carlos Francisco Ribeiro Jereissati",1
"155",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2012","Pedro Jereissati",3
"156",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2011","Pedro Jereissati",3
"157",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2010","Pedro Jereissati",3
"158",29,"BANCO DO NORDESTE DO BRASIL SA","2017","ROMILDO CARNEIRO ROLIM",1
"159",29,"BANCO DO NORDESTE DO BRASIL SA","2016","MARCOS COSTA HOLANDA",3
"160",29,"BANCO DO NORDESTE DO BRASIL SA","2015","MARCOS COSTA HOLANDA",3
"161",29,"BANCO DO NORDESTE DO BRASIL SA","2014","MARCOS COSTA HOLANDA",3
"162",29,"BANCO DO NORDESTE DO BRASIL SA","2013","NELSON ANTÔNIO DE SOUZA",2
"163",29,"BANCO DO NORDESTE DO BRASIL SA","2012","NELSON ANTÔNIO DE SOUZA",2
"164",29,"BANCO DO NORDESTE DO BRASIL SA","2011","ARY JOEL DE ABREU LANZARIN",1
"165",29,"BANCO DO NORDESTE DO BRASIL SA","2010","JURANDIR VIEIRA SANTIAGO",1
"166",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2017","Irineu Govêa",2
"167",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2016","Irineu Govêa",2
"168",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2015","João Jacó Hazarabedian",4
"169",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2014","João Jacó Hazarabedian",4
"170",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2013","João Jacó Hazarabedian",4
"171",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2012","João Jacó Hazarabedian",4
"172",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2011","Henri Penchas",1
"173",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2010","Mário Anseloni Neto",1
"174",32,"RECRUSUL SA","2017","Ricardo Mottin Junior",1
"175",32,"RECRUSUL SA","2017","Davi Souza da Rosa",1
"176",32,"RECRUSUL SA","2016","Ricardo Mottin Junior",1
"177",32,"RECRUSUL SA","2016","Davi Souza da Rosa",1
"178",32,"RECRUSUL SA","2015","Ricardo Mottin Junior",1
"179",32,"RECRUSUL SA","2015","Davi Souza da Rosa",1
"180",32,"RECRUSUL SA","2014","Ricardo Mottin Junior",1
"181",32,"RECRUSUL SA","2014","Bernardo Flores",1
"182",32,"RECRUSUL SA","2013","Ricardo Mottin Junior",1
"183",32,"RECRUSUL SA","2013","Bernardo Flores",1
"184",32,"RECRUSUL SA","2012","Ricardo Mottin Junior",1
"185",32,"RECRUSUL SA","2012","Bernardo Flores",1
"186",32,"RECRUSUL SA","2011","Ricardo Mottin Junior",2
"187",32,"RECRUSUL SA","2010","Ricardo Mottin Junior",2
"188",33,"KLABIN S.A.","2017","Cristiano Cardoso Teixeira",2
"189",33,"KLABIN S.A.","2016","Cristiano Cardoso Teixeira",2
"190",33,"KLABIN S.A.","2015","Fabio Schvartsman",6
"191",33,"KLABIN S.A.","2014","Fabio Schvartsman",6
"192",33,"KLABIN S.A.","2013","Fabio Schvartsman",6
"193",33,"KLABIN S.A.","2012","Fabio Schvartsman",6
"194",33,"KLABIN S.A.","2011","Fabio Schvartsman",6
"195",33,"KLABIN S.A.","2010","Fabio Schvartsman",6
"196",34,"SANSUY SA INDÚSTRIA  DE PLASTICOS","2017","TOSHIO NAKABAYASHI",1
"197",35,"FIBRIA CELULOSE S.A.","2017","Marcelo Strufaldi Castelli",8
"198",35,"FIBRIA CELULOSE S.A.","2016","Marcelo Strufaldi Castelli",8
"199",35,"FIBRIA CELULOSE S.A.","2015","Marcelo Strufaldi Castelli",8
"200",35,"FIBRIA CELULOSE S.A.","2014","Marcelo Strufaldi Castelli",8
"201",35,"FIBRIA CELULOSE S.A.","2013","Marcelo Strufaldi Castelli",8
"202",35,"FIBRIA CELULOSE S.A.","2012","Marcelo Strufaldi Castelli",8
"203",35,"FIBRIA CELULOSE S.A.","2011","Marcelo Strufaldi Castelli",8
"204",35,"FIBRIA CELULOSE S.A.","2010","Marcelo Strufaldi Castelli",8
"205",36,"SIDERURGICA J L ALIPERTI SA","2017","Caetano Aliperti",8
"206",36,"SIDERURGICA J L ALIPERTI SA","2016","Caetano Aliperti",8
"207",36,"SIDERURGICA J L ALIPERTI SA","2015","Caetano Aliperti",8
"208",36,"SIDERURGICA J L ALIPERTI SA","2014","Caetano Aliperti",8
"209",36,"SIDERURGICA J L ALIPERTI SA","2013","Caetano Aliperti",8
"210",36,"SIDERURGICA J L ALIPERTI SA","2012","Caetano Aliperti",8
"211",36,"SIDERURGICA J L ALIPERTI SA","2011","Caetano Aliperti",8
"212",36,"SIDERURGICA J L ALIPERTI SA","2010","Caetano Aliperti",8
"213",37,"RIMET EMPREEND. INDS. E COMERCIAIS S/A","2011","Jairo Carlos dos Santos",2
"214",37,"RIMET EMPREEND. INDS. E COMERCIAIS S/A","2010","Jairo Carlos dos Santos",2
"215",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2017","Roberto Godoy Assumpção",3
"216",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2016","Roberto Godoy Assumpção",3
"217",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2015","Roberto Godoy Assumpção",3
"218",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2014","Luiz Henrique Andrade de Araújo",5
"219",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2013","Luiz Henrique Andrade de Araújo",5
"220",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2012","Luiz Henrique Andrade de Araújo",5
"221",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2011","Luiz Henrique Andrade de Araújo",5
"222",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2010","Luiz Henrique Andrade de Araújo",5
"223",40,"BANCO MERCANTIL BRASIL SA","2017","Luiz Henrique Andrade de Araújo",4
"224",40,"BANCO MERCANTIL BRASIL SA","2016","Luiz Henrique Andrade de Araújo",4
"225",40,"BANCO MERCANTIL BRASIL SA","2015","Luiz Henrique Andrade de Araújo",4
"226",40,"BANCO MERCANTIL BRASIL SA","2014","Luiz Henrique Andrade de Araújo",4
"227",40,"BANCO MERCANTIL BRASIL SA","2012","MILTON DE ARAUJO",3
"228",40,"BANCO MERCANTIL BRASIL SA","2011","MILTON DE ARAUJO",3
"229",40,"BANCO MERCANTIL BRASIL SA","2010","MILTON DE ARAUJO",3
"230",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2017","JOSE LUIZ ABICALIL",8
"231",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2016","JOSE LUIZ ABICALIL",8
"232",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2015","JOSE LUIZ ABICALIL",8
"233",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2014","JOSE LUIZ ABICALIL",8
"234",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2013","JOSE LUIZ ABICALIL",8
"235",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2012","JOSE LUIZ ABICALIL",8
"236",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2011","JOSE LUIZ ABICALIL",8
"237",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2010","JOSE LUIZ ABICALIL",8
"238",43,"ÉVORA S.A.","2015","Geraldo Ebling Enck",6
"239",43,"ÉVORA S.A.","2014","Geraldo Ebling Enck",6
"240",43,"ÉVORA S.A.","2013","Geraldo Ebling Enck",6
"241",43,"ÉVORA S.A.","2012","Geraldo Ebling Enck",6
"242",43,"ÉVORA S.A.","2011","Geraldo Ebling Enck",6
"243",43,"ÉVORA S.A.","2010","Geraldo Ebling Enck",6
"244",44,"METALURGICA RIOSULENSE SA","2017","LUIS ANTONIO STRAMOSK",3
"245",44,"METALURGICA RIOSULENSE SA","2016","LUIS ANTONIO STRAMOSK",3
"246",44,"METALURGICA RIOSULENSE SA","2015","LUIS ANTONIO STRAMOSK",3
"247",45,"POLPAR S.A.","2017","David Feffer",8
"248",45,"POLPAR S.A.","2016","David Feffer",8
"249",45,"POLPAR S.A.","2015","David Feffer",8
"250",45,"POLPAR S.A.","2014","David Feffer",8
"251",45,"POLPAR S.A.","2013","David Feffer",8
"252",45,"POLPAR S.A.","2012","David Feffer",8
"253",45,"POLPAR S.A.","2011","David Feffer",8
"254",45,"POLPAR S.A.","2010","David Feffer",8
"255",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2017","André Cambauva do Nascimento",8
"256",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2016","André Cambauva do Nascimento",8
"257",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2015","André Cambauva do Nascimento",8
"258",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2014","André Cambauva do Nascimento",8
"259",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2013","André Cambauva do Nascimento",8
"260",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2012","André Cambauva do Nascimento",8
"261",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2011","André Cambauva do Nascimento",8
"262",46,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","2010","André Cambauva do Nascimento",8
"263",47,"MINUPAR PARTICIPACOES SA","2017","Carla Luciane Diedrich",3
"264",47,"MINUPAR PARTICIPACOES SA","2016","Carla Luciane Diedrich",3
"265",47,"MINUPAR PARTICIPACOES SA","2015","Carla Luciane Diedrich",3
"266",47,"MINUPAR PARTICIPACOES SA","2014","Sérgio Roberto Jaeschke Jaeger",2
"267",47,"MINUPAR PARTICIPACOES SA","2013","Sérgio Roberto Jaeschke Jaeger",2
"268",48,"PBG S/A","2017","Cesar Gomes Júnior",1
"269",48,"PBG S/A","2017","John Shojiro Suzuki",1
"270",48,"PBG S/A","2016","Cesar Gomes Júnior",1
"271",48,"PBG S/A","2016","John Shojiro Suzuki",1
"272",48,"PBG S/A","2015","Cesar Gomes Júnior",6
"273",48,"PBG S/A","2014","Cesar Gomes Júnior",6
"274",48,"PBG S/A","2013","Cesar Gomes Júnior",6
"275",48,"PBG S/A","2012","Cesar Gomes Júnior",6
"276",48,"PBG S/A","2011","Cesar Gomes Júnior",6
"277",48,"PBG S/A","2010","Cesar Gomes Júnior",6
"278",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2017","Felipe Goes",3
"279",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2016","Felipe Goes",3
"280",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2015","Felipe Goes",3
"281",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2014","Felipe Góes",5
"282",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2013","Felipe Góes",5
"283",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2012","Felipe Góes",5
"284",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2011","Felipe Góes",5
"285",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2010","Felipe Góes",5
"286",50,"BANCO ALFA DE INVESTIMENTO SA","2017","Fabio Alberto Amorosino",8
"287",50,"BANCO ALFA DE INVESTIMENTO SA","2016","Fabio Alberto Amorosino",8
"288",50,"BANCO ALFA DE INVESTIMENTO SA","2015","Fabio Alberto Amorosino",8
"289",50,"BANCO ALFA DE INVESTIMENTO SA","2014","Fabio Alberto Amorosino",8
"290",50,"BANCO ALFA DE INVESTIMENTO SA","2013","Fabio Alberto Amorosino",8
"291",50,"BANCO ALFA DE INVESTIMENTO SA","2012","Fabio Alberto Amorosino",8
"292",50,"BANCO ALFA DE INVESTIMENTO SA","2011","Fabio Alberto Amorosino",8
"293",50,"BANCO ALFA DE INVESTIMENTO SA","2010","Fabio Alberto Amorosino",8
"294",51,"CEMEPE INVESTIMENTOS SA","2017","SAMUEL PAPELBAUM",3
"295",51,"CEMEPE INVESTIMENTOS SA","2016","SAMUEL PAPELBAUM",3
"296",51,"CEMEPE INVESTIMENTOS SA","2015","SAMUEL PAPELBAUM",3
"297",52,"SUZANO PAPEL E CELULOSE SA","2017","Walter Schalka",7
"298",52,"SUZANO PAPEL E CELULOSE SA","2016","Walter Schalka",7
"299",52,"SUZANO PAPEL E CELULOSE SA","2015","Walter Schalka",7
"300",52,"SUZANO PAPEL E CELULOSE SA","2014","Walter Schalka",7
"301",52,"SUZANO PAPEL E CELULOSE SA","2013","Walter Schalka",7
"302",52,"SUZANO PAPEL E CELULOSE SA","2012","Walter Schalka",7
"303",52,"SUZANO PAPEL E CELULOSE SA","2011","Walter Schalka",7
